Energy Usage and Saving Report
Report Time: 04/22/2015 12:44 PM,Time Zone: America/New_York
Data from 04/17/2015 12:00 AM to 04/22/2015 12:00 AM

SF Pole Lights
Energy Usage (kWh)
Date Time,Energy Usage
17/04/2015 00:00:00,1.629
17/04/2015 01:00:00,1.488
17/04/2015 02:00:00,1.282
17/04/2015 03:00:00,1.416
17/04/2015 04:00:00,1.223
17/04/2015 05:00:00,1.558
17/04/2015 06:00:00,1.733
17/04/2015 07:00:00,0
17/04/2015 08:00:00,0
17/04/2015 09:00:00,0.042
17/04/2015 10:00:00,0
17/04/2015 11:00:00,0
17/04/2015 12:00:00,0
17/04/2015 13:00:00,0
17/04/2015 14:00:00,0
17/04/2015 15:00:00,0
17/04/2015 16:00:00,0
17/04/2015 17:00:00,0
17/04/2015 18:00:00,0
17/04/2015 19:00:00,0.426
17/04/2015 20:00:00,1.991
17/04/2015 21:00:00,1.916
17/04/2015 22:00:00,1.871
17/04/2015 23:00:00,1.725
18/04/2015 00:00:00,1.489
18/04/2015 01:00:00,1.526
18/04/2015 02:00:00,1.372
18/04/2015 03:00:00,1.343
18/04/2015 04:00:00,1.418
18/04/2015 05:00:00,1.378
18/04/2015 06:00:00,1.476
18/04/2015 07:00:00,0
18/04/2015 08:00:00,0
18/04/2015 09:00:00,0
18/04/2015 10:00:00,0
18/04/2015 11:00:00,0
18/04/2015 12:00:00,0
18/04/2015 13:00:00,0
18/04/2015 14:00:00,0
18/04/2015 15:00:00,0
18/04/2015 16:00:00,0
18/04/2015 17:00:00,0
18/04/2015 18:00:00,0
18/04/2015 19:00:00,0.317
18/04/2015 20:00:00,1.936
18/04/2015 21:00:00,1.829
18/04/2015 22:00:00,1.782
18/04/2015 23:00:00,1.796
19/04/2015 00:00:00,1.537
19/04/2015 01:00:00,1.498
19/04/2015 02:00:00,1.413
19/04/2015 03:00:00,1.468
19/04/2015 04:00:00,1.257
19/04/2015 05:00:00,1.23
19/04/2015 06:00:00,1.216
19/04/2015 07:00:00,0
19/04/2015 08:00:00,0
19/04/2015 09:00:00,0.086
19/04/2015 10:00:00,0
19/04/2015 11:00:00,0
19/04/2015 12:00:00,0
19/04/2015 13:00:00,0
19/04/2015 14:00:00,0
19/04/2015 15:00:00,0
19/04/2015 16:00:00,0
19/04/2015 17:00:00,0
19/04/2015 18:00:00,0
19/04/2015 19:00:00,0.753
19/04/2015 20:00:00,1.949
19/04/2015 21:00:00,1.805
